オファーID,薬剤名,プラン名,価格(税込),期間/単位,内容(錠数/本数等),条件(送料無料等),備考,最終更新日
A001,アカルボース,50mg 1ヶ月毎お届け,"5,980",1ヶ月,60錠,送料無料,,2025/05/23
M001,マンジャロ,2.5mg 定期購入1ヶ月毎,19980,1ヶ月,4本（週1回×4週分）,送料無料,,2025/05/23
M_Try,マンジャロ,お試しマンジャロ2.5mg 2週間分（解約希望者向け特別）,9980,初回2週間,2本,"送料無料,解約者限定","2回目以降19,980円/月",2025/05/23
A002,アカルボース,50mg 3ヶ月毎お届け,"14,940",3ヶ月,180錠,送料無料,,2025/05/26
A003,アカルボース,50mg 6ヶ月毎お届け,"23,880",6ヶ月,360錠,送料無料,,2025/05/26
A004,アカルボース,100mg 1ヶ月毎お届け,"6,980",1ヶ月,60錠,送料無料,,2025/05/26
A005,アカルボース,100mg 3ヶ月毎お届け,"17,940",3ヶ月,180錠,送料無料,,2025/05/26
A006,アカルボース,100mg 6ヶ月毎お届け,"29,880",6ヶ月,360錠,送料無料,,2025/05/26
M002,マンジャロ,2.5mg 定期購入2ヶ月毎,"37,980",2ヶ月,8本（週1回×8週分）,送料無料,,2025/05/26
M003,マンジャロ,2.5mg 定期購入3ヶ月毎,"53,970",3ヶ月,12本（週1回×12週分）,送料無料,,2025/05/26
M004,マンジャロ,5.0mg 定期購入1ヶ月毎,"38,980",1ヶ月,4本（週1回×4週分）,送料無料,,2025/05/26
M005,マンジャロ,5.0mg 定期購入2ヶ月毎,"73,980",2ヶ月,8本（週1回×8週分）,送料無料,,2025/05/26
M006,マンジャロ,5.0mg 定期購入3ヶ月毎,"104,970",3ヶ月,12本（週1回×12週分）,送料無料,,2025/05/26
M007,マンジャロ,7.5mg 定期2週間毎,"28,980",2週間,4本（週1回×4週分）,送料無料,,2025/05/26
M008,マンジャロ,7.5mg 定期購入1ヶ月毎,"54,980",1ヶ月,8本（週1回×8週分）,送料無料,,2025/05/26
M009,マンジャロ,7.5mg 定期購入2ヶ月毎,"103,980",2ヶ月,12本（週1回×12週分）,送料無料,,2025/05/26
M010,マンジャロ,10mg 定期2週間毎,"38,980",2週間,4本（週1回×4週分）,送料無料,,2025/05/26
M011,マンジャロ,10mg 定期購入1ヶ月毎,"73,980",1ヶ月,8本（週1回×8週分）,送料無料,,2025/05/26
M012,マンジャロ,10mg 定期購入2ヶ月毎,"139,980",2ヶ月,12本（週1回×12週分）,送料無料,,2025/05/26
M013,マンジャロ,12.5mg 定期2週間毎,"43,990",2週間,4本（週1回×4週分）,送料無料,,2025/05/26
M014,マンジャロ,12.5mg 定期購入1ヶ月毎,"82,980",1ヶ月,8本（週1回×8週分）,送料無料,,2025/05/26
M015,マンジャロ,12.5mg 定期購入2ヶ月毎,"154,980",2ヶ月,12本（週1回×12週分）,送料無料,,2025/05/26
M016,マンジャロ,15mg 定期2週間毎,"49,980",2週間,4本（週1回×4週分）,送料無料,,2025/05/26
M017,マンジャロ,15mg 定期購入1ヶ月毎,"92,980",1ヶ月,8本（週1回×8週分）,送料無料,,2025/05/26
M018,マンジャロ,15mg 定期購入2ヶ月毎,"171,980",2ヶ月,12本（週1回×12週分）,送料無料,,2025/05/26
R001,リベルサス,3mg 1ヶ月毎お届け,"9,800",1ヶ月,30錠,送料無料,,2025/05/26
R002,リベルサス,3mg 3ヶ月毎お届け,"23,400",3ヶ月,90錠,送料無料,,2025/05/26
R003,リベルサス,3mg 6ヶ月毎お届け,"34,800",6ヶ月,180錠,送料無料,,2025/05/26
R004,リベルサス,7mg 1ヶ月毎お届け,"16,800",1ヶ月,30錠,送料無料,,2025/05/26
R005,リベルサス,7mg 3ヶ月毎お届け,"44,400",3ヶ月,90錠,送料無料,,2025/05/26
R006,リベルサス,7mg 6ヶ月毎お届け,"82,800",6ヶ月,180錠,送料無料,,2025/05/26
R007,リベルサス,14mg 1ヶ月毎お届け,"24,800",1ヶ月,30錠,送料無料,,2025/05/26
R008,リベルサス,14mg 3ヶ月毎お届け,"68,400",3ヶ月,90錠,送料無料,,2025/05/26
R009,リベルサス,14mg 6ヶ月毎お届け,"130,800",6ヶ月,180錠,送料無料,,2025/05/26